miRNA,PMID,Entrez Gene Id
hsa-miR-106b,17242205,5594
hsa-miR-106b,17242205,6050
hsa-miR-106b,17242205,9802
hsa-miR-106b,17242205,9842
hsa-miR-106b,17242205,10950
hsa-miR-106b,17242205,23731
hsa-miR-106b,17242205,30815
hsa-miR-106b,17242205,56674
hsa-miR-106b,17242205,57169
hsa-miR-106b,17242205,57181
hsa-miR-106b,17242205,79590
hsa-miR-106b,17242205,80829
hsa-miR-106b,17242205,127262
hsa-miR-106b,17242205,140885
hsa-miR-106b,17242205,142940
hsa-miR-107,17242205,23
hsa-miR-107,17242205,740
hsa-miR-107,17242205,898
hsa-miR-107,17242205,1017
hsa-miR-107,17242205,1021
hsa-miR-107,17242205,1728
hsa-miR-107,17242205,1789
hsa-miR-107,17242205,1979
hsa-miR-107,17242205,2178
hsa-miR-107,17242205,3162
hsa-miR-107,17242205,3491
hsa-miR-107,17242205,3930
hsa-miR-107,17242205,3988
hsa-miR-107,17242205,5690
hsa-miR-107,17242205,6241
hsa-miR-107,17242205,6391
hsa-miR-107,17242205,6505
hsa-miR-107,17242205,6892
hsa-miR-107,17242205,6895
hsa-miR-107,17242205,6903
hsa-miR-107,17242205,7335
hsa-miR-107,17242205,7360
hsa-miR-107,17242205,7390
hsa-miR-107,17242205,7425
hsa-miR-107,17242205,8091
hsa-miR-107,17242205,8451
hsa-miR-107,17242205,8555
hsa-miR-107,17242205,9467
hsa-miR-107,17242205,9741
hsa-miR-107,17242205,10007
hsa-miR-107,17242205,10055
hsa-miR-107,17242205,10184
hsa-miR-107,17242205,10284
hsa-miR-107,17242205,10614
hsa-miR-107,17242205,10712
hsa-miR-107,17242205,11065
hsa-miR-107,17242205,23170
hsa-miR-107,17242205,23264
hsa-miR-107,17242205,23306
hsa-miR-107,17242205,23321
hsa-miR-107,17242205,23378
hsa-miR-107,17242205,25777
hsa-miR-107,17242205,26001
hsa-miR-107,17242205,26064
hsa-miR-107,17242205,26073
hsa-miR-107,17242205,26147
hsa-miR-107,17242205,27338
hsa-miR-107,17242205,28985
hsa-miR-107,17242205,49856
hsa-miR-107,17242205,50861
hsa-miR-107,17242205,51026
hsa-miR-107,17242205,51030
hsa-miR-107,17242205,51123
hsa-miR-107,17242205,51499
hsa-miR-107,17242205,51805
hsa-miR-107,17242205,54206
hsa-miR-107,17242205,55038
hsa-miR-107,17242205,55165
hsa-miR-107,17242205,55536
hsa-miR-107,17242205,56181
hsa-miR-107,17242205,57048
hsa-miR-107,17242205,57149
hsa-miR-107,17242205,57157
hsa-miR-107,17242205,64065
hsa-miR-107,17242205,64768
hsa-miR-107,17242205,64834
hsa-miR-107,17242205,64841
hsa-miR-107,17242205,79065
hsa-miR-107,17242205,79180
hsa-miR-107,17242205,79801
hsa-miR-107,17242205,83606
hsa-miR-107,17242205,83742
hsa-miR-107,17242205,84220
hsa-miR-107,17242205,92305
hsa-miR-107,17242205,94241
hsa-miR-107,17242205,112770
hsa-miR-107,17242205,124222
hsa-miR-107,17242205,158293
hsa-miR-107,17242205,221002
hsa-miR-107,17242205,653689
hsa-miR-107,17242205,729799
hsa-miR-122,19296470,226
hsa-miR-122,19296470,287
hsa-miR-122,19296470,311
hsa-miR-122,19296470,477
hsa-miR-122,19296470,1844
hsa-miR-122,19296470,4204
hsa-miR-122,19296470,4684
hsa-miR-122,19296470,5600
hsa-miR-122,19296470,6868
hsa-miR-122,19296470,7165
hsa-miR-122,19296470,9095
hsa-miR-122,19296470,9253
hsa-miR-122,19296470,9583
hsa-miR-122,19296470,10000
